[ 2025-11-18 11:38:41,755 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-11-18 11:38:46,523 ] 20 root - INFO - Initiate the data ingestion
[ 2025-11-18 11:38:59,224 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-11-18 11:38:59,224 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-11-18 11:38:59,224 ] 75 root - INFO - Exporting train and test file path.
[ 2025-11-18 11:38:59,411 ] 84 root - INFO - Exported train and test file path.
[ 2025-11-18 11:38:59,411 ] 22 root - INFO - Data Initiation Completed
[ 2025-11-18 11:38:59,446 ] 26 root - INFO - Initiate the data Validation
[ 2025-11-18 11:38:59,518 ] 32 root - INFO - Required number of columns:2
[ 2025-11-18 11:38:59,537 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-18 11:38:59,537 ] 32 root - INFO - Required number of columns:2
[ 2025-11-18 11:38:59,537 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-18 11:39:00,115 ] 28 root - INFO - data Validation Completed
[ 2025-11-18 11:39:00,115 ] 31 root - INFO - data Transformation started
[ 2025-11-18 11:39:00,115 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-11-18 11:39:00,115 ] 65 root - INFO - Starting data transformation
[ 2025-11-18 11:39:00,222 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-11-18 11:39:00,222 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-11-18 11:39:00,286 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-18 11:39:00,298 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-18 11:39:00,298 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-18 11:39:00,310 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-18 11:39:00,314 ] 35 root - INFO - data Transformation completed
[ 2025-11-18 11:39:00,314 ] 37 root - INFO - Model Training sstared
