[ 2025-11-18 11:51:34,411 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-11-18 11:51:38,398 ] 20 root - INFO - Initiate the data ingestion
[ 2025-11-18 11:51:40,934 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-11-18 11:51:40,934 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-11-18 11:51:40,936 ] 75 root - INFO - Exporting train and test file path.
[ 2025-11-18 11:51:40,996 ] 84 root - INFO - Exported train and test file path.
[ 2025-11-18 11:51:40,996 ] 22 root - INFO - Data Initiation Completed
[ 2025-11-18 11:51:41,001 ] 26 root - INFO - Initiate the data Validation
[ 2025-11-18 11:51:41,023 ] 32 root - INFO - Required number of columns:2
[ 2025-11-18 11:51:41,029 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-18 11:51:41,029 ] 32 root - INFO - Required number of columns:2
[ 2025-11-18 11:51:41,029 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-18 11:51:41,211 ] 28 root - INFO - data Validation Completed
[ 2025-11-18 11:51:41,211 ] 31 root - INFO - data Transformation started
[ 2025-11-18 11:51:41,211 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-11-18 11:51:41,211 ] 65 root - INFO - Starting data transformation
[ 2025-11-18 11:51:41,237 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-11-18 11:51:41,237 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-11-18 11:51:41,248 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-18 11:51:41,248 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-18 11:51:41,248 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-18 11:51:41,248 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-18 11:51:41,255 ] 35 root - INFO - data Transformation completed
[ 2025-11-18 11:51:41,255 ] 37 root - INFO - Model Training sstared
[ 2025-11-18 11:56:29,975 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-18 11:56:29,992 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-18 11:56:29,992 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-18 11:56:29,992 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-18 11:56:29,992 ] 122 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\11_18_2025_11_51_34\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9911540416878495, precision_score=0.9900467194799919, recall_score=0.9922638436482085), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9759036144578314, precision_score=0.9759036144578314, recall_score=0.9759036144578314))
[ 2025-11-18 11:56:29,992 ] 42 root - INFO - Model Training artifact created
