[ 2025-11-16 15:09:31,607 ] 160 numexpr.utils - INFO - NumExpr defaulting to 8 threads.
[ 2025-11-16 15:09:37,182 ] 20 root - INFO - Initiate the data ingestion
[ 2025-11-16 15:09:49,602 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-11-16 15:09:49,602 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-11-16 15:09:49,602 ] 75 root - INFO - Exporting train and test file path.
[ 2025-11-16 15:09:49,657 ] 84 root - INFO - Exported train and test file path.
[ 2025-11-16 15:09:49,657 ] 22 root - INFO - Data Initiation Completed
[ 2025-11-16 15:09:49,657 ] 26 root - INFO - Initiate the data Validation
[ 2025-11-16 15:09:49,672 ] 32 root - INFO - Required number of columns:2
[ 2025-11-16 15:09:49,686 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-16 15:09:49,686 ] 32 root - INFO - Required number of columns:2
[ 2025-11-16 15:09:49,686 ] 33 root - INFO - Data frame has columns:31
[ 2025-11-16 15:09:49,804 ] 28 root - INFO - data Validation Completed
[ 2025-11-16 15:09:49,804 ] 31 root - INFO - data Transformation started
[ 2025-11-16 15:09:49,804 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-11-16 15:09:49,804 ] 65 root - INFO - Starting data transformation
[ 2025-11-16 15:09:49,829 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-11-16 15:09:49,829 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-11-16 15:09:49,836 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-16 15:09:49,836 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-16 15:09:49,836 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-11-16 15:09:49,849 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-11-16 15:09:49,851 ] 35 root - INFO - data Transformation completed
[ 2025-11-16 15:09:49,851 ] 37 root - INFO - Model Training sstared
